Algorithm,Citation,bibkey
Actiware,"(Boyne et al., 2013)",@boyne2013
MotionWare,"(CamNTech, UK)","CamNTech, UK"
SenseWear,"(Lopez et al., 2017)",@lopez2018
Domino Light,"(Gorny et al., 1996)",@gorny1996
Cole-Kripke,"(Cole et al., 1992)",@cole1992
Kripke,"(Kripke et al., 1978)",@kripke1978
Sadeh,"(Sadeh et al., 1994)",@sadeh1994
Actiheart,"(Barreira et al., 2009)",@barreira2009
Fitbit,"(Haghayegh et al., 2019)",@haghayegh2019
UCSD,"(Jean-Louis et al., 2001)",@jean2001
ActiLife,"(Peach et al., 2014)",@peach2014
Actillume,"(Jean-Louis et al., 2001)",@jean2001
Micro-Electro-Mechanical Systems,"(Dunne et al., 2013)",@dunne2013
Sleep Sign Act,"(Kissei Comtec Co, Japan)","Kissei Comtec Co, Japan"
IM Systems,"(Individual Monitoring Systems, Inc., USA)","Individual Monitoring Systems, Inc., USA"
Machine learning algorithm,"(John et al., 2019)",@john2019
Fatigue Science,"(Russel et al., 2016)",@russell2000
Barouni,"(Barouni et al., 2020)",@barouni2020
Choi,"(Choi et al., 2011)",@choi2011
Tudor-Locke,"(Tudor-Locke et al., 2014)",@tudor2014
Troiano,"(Troiano et al., 2007)",@troiano2008
