variable_code,variable_name,studies
compare_corr,Pearson or Spearman correlations,
compare_blandaltman,Bland Altman Analyses,
compare_pairedtwilcoxon,Paired t-tests or Wilcoxon Signed Rank tests,
compare_onesamplet,1-sample t-tests of difference scores,
compare_indep,Independent samples t-tests,
compare_anova_all,ANOVA,
compare_lm,Linear models,
compare_classperf,Classification performance measures,
compare_lin,Lin's Concordance Coefficient,
compare_icc,Intraclass Correlation,
compare_kappa,Cohen's Kappa,
compare_chi,Chi-square tests,
compare_pitman,Pitman's tests,
compare_lmeval,"Measures of estimation (e.g., mean bias, typical error of estimate)",
compare_other_present,Other direct comparison (described below),
